COMPACT DATASET TABLE - CSV FORMAT
========================================================================================================================================================================================================
Total Samples: 6000, η: 0.3, Initial β0: [0, 0.3, -0.5]
========================================================================================================================================================================================================

Idx,Bias,X0,X1,y,It0_β0,It0_β1,It0_β2,It0_σ(z),It0_Error,It5_β0,It5_β1,It5_β2,It5_σ(z),It5_Error,It10_β0,It10_β1,It10_β2,It10_σ(z),It10_Error,It15_β0,It15_β1,It15_β2,It15_σ(z),It15_Error,It20_β0,It20_β1,It20_β2,It20_σ(z),It20_Error
10,1.0,0.253658,0.290636,0,0.000000,0.300000,-0.500000,0.482702,-0.482702,0.012088,0.425368,-0.370884,0.503048,-0.503048,-0.019996,0.554005,-0.237395,0.512881,-0.512881,-0.080926,0.664119,-0.122363,0.512990,-0.512990,-0.156522,0.763360,-0.018200,0.507955,-0.507955
11,1.0,0.253427,0.432580,0,0.000000,0.300000,-0.500000,0.464992,-0.464992,0.012088,0.425368,-0.370884,0.489864,-0.489864,-0.019996,0.554005,-0.237395,0.504428,-0.504428,-0.080926,0.664119,-0.122363,0.508611,-0.508611,-0.156522,0.763360,-0.018200,0.507265,-0.507265
12,1.0,0.324196,0.171284,0,0.000000,0.300000,-0.500000,0.502904,-0.502904,0.012088,0.425368,-0.370884,0.521603,-0.521603,-0.019996,0.554005,-0.237395,0.529702,-0.529702,-0.080926,0.664119,-0.122363,0.528325,-0.528325,-0.156522,0.763360,-0.018200,0.521946,-0.521946
13,1.0,0.108672,0.160288,0,0.000000,0.300000,-0.500000,0.488117,-0.488117,0.012088,0.425368,-0.370884,0.499716,-0.499716,-0.019996,0.554005,-0.237395,0.500539,-0.500539,-0.080926,0.664119,-0.122363,0.492908,-0.492908,-0.156522,0.763360,-0.018200,0.480888,-0.480888
14,1.0,0.127508,0.241640,0,0.000000,0.300000,-0.500000,0.479370,-0.479370,0.012088,0.425368,-0.370884,0.494177,-0.494177,-0.019996,0.554005,-0.237395,0.498320,-0.498320,-0.080926,0.664119,-0.122363,0.493547,-0.493547,-0.156522,0.763360,-0.018200,0.484109,-0.484109
15,1.0,0.243771,0.403838,0,0.000000,0.300000,-0.500000,0.467848,-0.467848,0.012088,0.425368,-0.370884,0.491502,-0.491502,-0.019996,0.554005,-0.237395,0.504796,-0.504796,-0.080926,0.664119,-0.122363,0.507887,-0.507887,-0.156522,0.763360,-0.018200,0.505553,-0.505553
16,1.0,0.198717,0.148065,0,0.000000,0.300000,-0.500000,0.496396,-0.496396,0.012088,0.425368,-0.370884,0.510424,-0.510424,-0.019996,0.554005,-0.237395,0.513733,-0.513733,-0.080926,0.664119,-0.122363,0.508231,-0.508231,-0.156522,0.763360,-0.018200,0.498119,-0.498119
17,1.0,0.331425,0.016784,0,0.000000,0.300000,-0.500000,0.522743,-0.522743,0.012088,0.425368,-0.370884,0.536644,-0.536644,-0.019996,0.554005,-0.237395,0.539823,-0.539823,-0.080926,0.664119,-0.122363,0.534228,-0.534228,-0.156522,0.763360,-0.018200,0.524024,-0.524024
18,1.0,0.209198,0.254884,0,0.000000,0.300000,-0.500000,0.483835,-0.483835,0.012088,0.425368,-0.370884,0.501635,-0.501635,-0.019996,0.554005,-0.237395,0.508847,-0.508847,-0.080926,0.664119,-0.122363,0.506704,-0.506704,-0.156522,0.763360,-0.018200,0.499633,-0.499633
19,1.0,0.158770,0.355174,0,0.000000,0.300000,-0.500000,0.467557,-0.467557,0.012088,0.425368,-0.370884,0.486977,-0.486977,-0.019996,0.554005,-0.237395,0.495912,-0.495912,-0.080926,0.664119,-0.122363,0.495264,-0.495264,-0.156522,0.763360,-0.018200,0.489555,-0.489555
20,1.0,0.446565,0.420026,0,0.000000,0.300000,-0.500000,0.480998,-0.480998,0.012088,0.425368,-0.370884,0.511563,-0.511563,-0.019996,0.554005,-0.237395,0.531879,-0.531879,-0.080926,0.664119,-0.122363,0.540971,-0.540971,-0.156522,0.763360,-0.018200,0.544066,-0.544066
21,1.0,0.277422,0.253684,0,0.000000,0.300000,-0.500000,0.489098,-0.489098,0.012088,0.425368,-0.370884,0.509001,-0.509001,-0.019996,0.554005,-0.237395,0.518360,-0.518360,-0.080926,0.664119,-0.122363,0.518061,-0.518061,-0.156522,0.763360,-0.018200,0.512656,-0.512656
22,1.0,0.306753,0.258857,0,0.000000,0.300000,-0.500000,0.490650,-0.490650,0.012088,0.425368,-0.370884,0.511639,-0.511639,-0.019996,0.554005,-0.237395,0.522109,-0.522109,-0.080926,0.664119,-0.122363,0.522764,-0.522764,-0.156522,0.763360,-0.018200,0.518224,-0.518224
23,1.0,0.157525,0.415390,0,0.000000,0.300000,-0.500000,0.459976,-0.459976,0.012088,0.425368,-0.370884,0.481267,-0.481267,-0.019996,0.554005,-0.237395,0.492166,-0.492166,-0.080926,0.664119,-0.122363,0.493216,-0.493216,-0.156522,0.763360,-0.018200,0.489043,-0.489043
24,1.0,0.245562,0.113026,0,0.000000,0.300000,-0.500000,0.504289,-0.504289,0.012088,0.425368,-0.370884,0.518647,-0.518647,-0.019996,0.554005,-0.237395,0.522289,-0.522289,-0.080926,0.664119,-0.122363,0.517075,-0.517075,-0.156522,0.763360,-0.018200,0.507218,-0.507218
25,1.0,0.311092,0.261148,0,0.000000,0.300000,-0.500000,0.490690,-0.490690,0.012088,0.425368,-0.370884,0.511888,-0.511888,-0.019996,0.554005,-0.237395,0.522573,-0.522573,-0.080926,0.664119,-0.122363,0.523413,-0.523413,-0.156522,0.763360,-0.018200,0.519041,-0.519041
26,1.0,0.184901,0.319042,0,0.000000,0.300000,-0.500000,0.474011,-0.474011,0.012088,0.425368,-0.370884,0.493103,-0.493103,-0.019996,0.554005,-0.237395,0.501675,-0.501675,-0.080926,0.664119,-0.122363,0.500708,-0.500708,-0.156522,0.763360,-0.018200,0.494704,-0.494704
27,1.0,0.337570,0.344922,0,0.000000,0.300000,-0.500000,0.482210,-0.482210,0.012088,0.425368,-0.370884,0.506938,-0.506938,-0.019996,0.554005,-0.237395,0.521271,-0.521271,-0.080926,0.664119,-0.122363,0.525242,-0.525242,-0.156522,0.763360,-0.018200,0.523704,-0.523704
28,1.0,0.239936,0.249019,0,0.000000,0.300000,-0.500000,0.486871,-0.486871,0.012088,0.425368,-0.370884,0.505448,-0.505448,-0.019996,0.554005,-0.237395,0.513450,-0.513450,-0.080926,0.664119,-0.122363,0.511985,-0.511985,-0.156522,0.763360,-0.018200,0.505526,-0.505526
29,1.0,0.270831,0.303444,0,0.000000,0.300000,-0.500000,0.482389,-0.482389,0.012088,0.425368,-0.370884,0.503687,-0.503687,-0.019996,0.554005,-0.237395,0.514498,-0.514498,-0.080926,0.664119,-0.122363,0.515447,-0.515447,-0.156522,0.763360,-0.018200,0.511172,-0.511172
30,1.0,0.239829,0.051167,0,0.000000,0.300000,-0.500000,0.511589,-0.511589,0.012088,0.425368,-0.370884,0.523764,-0.523764,-0.019996,0.554005,-0.237395,0.525160,-0.525160,-0.080926,0.664119,-0.122363,0.518014,-0.518014,-0.156522,0.763360,-0.018200,0.506405,-0.506405
31,1.0,0.485228,0.234175,0,0.000000,0.300000,-0.500000,0.507120,-0.507120,0.012088,0.425368,-0.370884,0.532862,-0.532862,-0.019996,0.554005,-0.237395,0.548158,-0.548158,-0.080926,0.664119,-0.122363,0.552968,-0.552968,-0.156522,0.763360,-0.018200,0.552214,-0.552214
32,1.0,0.298650,0.345351,0,0.000000,0.300000,-0.500000,0.479242,-0.479242,0.012088,0.425368,-0.370884,0.502760,-0.502760,-0.019996,0.554005,-0.237395,0.515863,-0.515863,-0.080926,0.664119,-0.122363,0.518780,-0.518780,-0.156522,0.763360,-0.018200,0.516287,-0.516287
33,1.0,0.194229,0.201771,0,0.000000,0.300000,-0.500000,0.489347,-0.489347,0.012088,0.425368,-0.370884,0.504968,-0.504968,-0.019996,0.554005,-0.237395,0.509926,-0.509926,-0.080926,0.664119,-0.122363,0.505844,-0.505844,-0.156522,0.763360,-0.018200,0.497018,-0.497018
34,1.0,0.382254,0.305898,0,0.000000,0.300000,-0.500000,0.490433,-0.490433,0.012088,0.425368,-0.370884,0.515304,-0.515304,-0.019996,0.554005,-0.237395,0.529754,-0.529754,-0.080926,0.664119,-0.122363,0.533825,-0.533825,-0.156522,0.763360,-0.018200,0.532382,-0.532382
35,1.0,0.177916,0.344687,0,0.000000,0.300000,-0.500000,0.470293,-0.470293,0.012088,0.425368,-0.370884,0.489984,-0.489984,-0.019996,0.554005,-0.237395,0.499186,-0.499186,-0.080926,0.664119,-0.122363,0.498764,-0.498764,-0.156522,0.763360,-0.018200,0.493255,-0.493255
36,1.0,0.320886,0.265745,0,0.000000,0.300000,-0.500000,0.490849,-0.490849,0.012088,0.425368,-0.370884,0.512503,-0.512503,-0.019996,0.554005,-0.237395,0.523655,-0.523655,-0.080926,0.664119,-0.122363,0.524895,-0.524895,-0.156522,0.763360,-0.018200,0.520886,-0.520886
37,1.0,0.104033,0.317046,0,0.000000,0.300000,-0.500000,0.468215,-0.468215,0.012088,0.425368,-0.370884,0.484693,-0.484693,-0.019996,0.554005,-0.237395,0.490594,-0.490594,-0.080926,0.664119,-0.122363,0.487345,-0.487345,-0.156522,0.763360,-0.018200,0.479292,-0.479292
38,1.0,0.167181,0.203727,0,0.000000,0.300000,-0.500000,0.487076,-0.487076,0.012088,0.425368,-0.370884,0.501911,-0.501911,-0.019996,0.554005,-0.237395,0.506065,-0.506065,-0.080926,0.664119,-0.122363,0.501293,-0.501293,-0.156522,0.763360,-0.018200,0.491848,-0.491848
39,1.0,0.319686,0.279339,0,0.000000,0.300000,-0.500000,0.489061,-0.489061,0.012088,0.425368,-0.370884,0.511116,-0.511116,-0.019996,0.554005,-0.237395,0.522684,-0.522684,-0.080926,0.664119,-0.122363,0.524282,-0.524282,-0.156522,0.763360,-0.018200,0.520596,-0.520596
40,1.0,0.373847,0.361022,0,0.000000,0.300000,-0.500000,0.482917,-0.482917,0.012088,0.425368,-0.370884,0.509302,-0.509302,-0.019996,0.554005,-0.237395,0.525331,-0.525331,-0.080926,0.664119,-0.122363,0.530755,-0.530755,-0.156522,0.763360,-0.018200,0.530534,-0.530534
41,1.0,0.317137,0.315697,0,0.000000,0.300000,-0.500000,0.484328,-0.484328,0.012088,0.425368,-0.370884,0.507475,-0.507475,-0.019996,0.554005,-0.237395,0.520178,-0.520178,-0.080926,0.664119,-0.122363,0.522750,-0.522750,-0.156522,0.763360,-0.018200,0.519945,-0.519945
42,1.0,0.288435,0.241347,0,0.000000,0.300000,-0.500000,0.491465,-0.491465,0.012088,0.425368,-0.370884,0.511315,-0.511315,-0.019996,0.554005,-0.237395,0.520614,-0.520614,-0.080926,0.664119,-0.122363,0.520263,-0.520263,-0.156522,0.763360,-0.018200,0.514812,-0.514812
43,1.0,0.269890,0.322422,0,0.000000,0.300000,-0.500000,0.479950,-0.479950,0.012088,0.425368,-0.370884,0.501827,-0.501827,-0.019996,0.554005,-0.237395,0.513243,-0.513243,-0.080926,0.664119,-0.122363,0.514711,-0.514711,-0.156522,0.763360,-0.018200,0.510906,-0.510906
44,1.0,0.152148,0.371461,0,0.000000,0.300000,-0.500000,0.465036,-0.465036,0.012088,0.425368,-0.370884,0.484764,-0.484764,-0.019996,0.554005,-0.237395,0.494028,-0.494028,-0.080926,0.664119,-0.122363,0.493667,-0.493667,-0.156522,0.763360,-0.018200,0.488217,-0.488217
45,1.0,0.228016,0.095006,0,0.000000,0.300000,-0.500000,0.505225,-0.505225,0.012088,0.425368,-0.370884,0.518452,-0.518452,-0.019996,0.554005,-0.237395,0.520931,-0.520931,-0.080926,0.664119,-0.122363,0.514715,-0.514715,-0.156522,0.763360,-0.018200,0.503952,-0.503952
46,1.0,0.253936,0.415907,0,0.000000,0.300000,-0.500000,0.467104,-0.467104,0.012088,0.425368,-0.370884,0.491464,-0.491464,-0.019996,0.554005,-0.237395,0.505488,-0.505488,-0.080926,0.664119,-0.122363,0.509206,-0.509206,-0.156522,0.763360,-0.018200,0.507438,-0.507438
47,1.0,0.405712,0.266375,0,0.000000,0.300000,-0.500000,0.497132,-0.497132,0.012088,0.425368,-0.370884,0.521455,-0.521455,-0.019996,0.554005,-0.237395,0.535325,-0.535325,-0.080926,0.664119,-0.122363,0.538901,-0.538901,-0.156522,0.763360,-0.018200,0.537016,-0.537016
48,1.0,0.334362,0.342549,0,0.000000,0.300000,-0.500000,0.482266,-0.482266,0.012088,0.425368,-0.370884,0.506817,-0.506817,-0.019996,0.554005,-0.237395,0.520968,-0.520968,-0.080926,0.664119,-0.122363,0.524783,-0.524783,-0.156522,0.763360,-0.018200,0.523104,-0.523104
49,1.0,0.123696,0.419725,0,0.000000,0.300000,-0.500000,0.456919,-0.456919,0.012088,0.425368,-0.370884,0.477275,-0.477275,-0.019996,0.554005,-0.237395,0.487226,-0.487226,-0.080926,0.664119,-0.122363,0.487469,-0.487469,-0.156522,0.763360,-0.018200,0.482573,-0.482573
50,1.0,0.332408,0.162833,0,0.000000,0.300000,-0.500000,0.504576,-0.504576,0.012088,0.425368,-0.370884,0.523256,-0.523256,-0.019996,0.554005,-0.237395,0.531335,-0.531335,-0.080926,0.664119,-0.122363,0.529941,-0.529941,-0.156522,0.763360,-0.018200,0.523548,-0.523548
51,1.0,0.261492,0.229056,0,0.000000,0.300000,-0.500000,0.490981,-0.490981,0.012088,0.425368,-0.370884,0.509590,-0.509590,-0.019996,0.554005,-0.237395,0.517616,-0.517616,-0.080926,0.664119,-0.122363,0.516171,-0.516171,-0.156522,0.763360,-0.018200,0.509729,-0.509729
52,1.0,0.232308,0.271145,0,0.000000,0.300000,-0.500000,0.483536,-0.483536,0.012088,0.425368,-0.370884,0.502585,-0.502585,-0.019996,0.554005,-0.237395,0.511082,-0.511082,-0.080926,0.664119,-0.122363,0.510043,-0.510043,-0.156522,0.763360,-0.018200,0.503969,-0.503969
53,1.0,0.361168,0.221625,0,0.000000,0.300000,-0.500000,0.499384,-0.499384,0.012088,0.425368,-0.370884,0.520868,-0.520868,-0.019996,0.554005,-0.237395,0.531827,-0.531827,-0.080926,0.664119,-0.122363,0.532906,-0.532906,-0.156522,0.763360,-0.018200,0.528755,-0.528755
54,1.0,0.403100,0.473494,0,0.000000,0.300000,-0.500000,0.471078,-0.471078,0.012088,0.425368,-0.370884,0.501986,-0.501986,-0.019996,0.554005,-0.237395,0.522714,-0.522714,-0.080926,0.664119,-0.122363,0.532166,-0.532166,-0.156522,0.763360,-0.018200,0.535582,-0.535582
55,1.0,0.393128,0.214323,0,0.000000,0.300000,-0.500000,0.502694,-0.502694,0.012088,0.425368,-0.370884,0.524935,-0.524935,-0.019996,0.554005,-0.237395,0.536664,-0.536664,-0.080926,0.664119,-0.122363,0.538407,-0.538407,-0.156522,0.763360,-0.018200,0.534862,-0.534862
56,1.0,0.216078,0.244445,0,0.000000,0.300000,-0.500000,0.485654,-0.485654,0.012088,0.425368,-0.370884,0.503335,-0.503335,-0.019996,0.554005,-0.237395,0.510419,-0.510419,-0.080926,0.664119,-0.122363,0.508165,-0.508165,-0.156522,0.763360,-0.018200,0.500994,-0.500994
57,1.0,0.269079,0.320439,0,0.000000,0.300000,-0.500000,0.480137,-0.480137,0.012088,0.425368,-0.370884,0.501925,-0.501925,-0.019996,0.554005,-0.237395,0.513248,-0.513248,-0.080926,0.664119,-0.122363,0.514637,-0.514637,-0.156522,0.763360,-0.018200,0.510761,-0.510761
58,1.0,0.333126,0.179785,0,0.000000,0.300000,-0.500000,0.502511,-0.502511,0.012088,0.425368,-0.370884,0.521764,-0.521764,-0.019996,0.554005,-0.237395,0.530432,-0.530432,-0.080926,0.664119,-0.122363,0.529543,-0.529543,-0.156522,0.763360,-0.018200,0.523608,-0.523608
59,1.0,0.397555,0.260432,0,0.000000,0.300000,-0.500000,0.497263,-0.497263,0.012088,0.425368,-0.370884,0.521139,-0.521139,-0.019996,0.554005,-0.237395,0.534551,-0.534551,-0.080926,0.664119,-0.122363,0.537736,-0.537736,-0.156522,0.763360,-0.018200,0.535494,-0.535494
60,1.0,0.252083,0.331745,0,0.000000,0.300000,-0.500000,0.477453,-0.477453,0.012088,0.425368,-0.370884,0.499069,-0.499069,-0.019996,0.554005,-0.237395,0.510225,-0.510225,-0.080926,0.664119,-0.122363,0.511471,-0.511471,-0.156522,0.763360,-0.018200,0.507467,-0.507467
61,1.0,0.281434,0.266714,0,0.000000,0.300000,-0.500000,0.487771,-0.487771,0.012088,0.425368,-0.370884,0.508220,-0.508220,-0.019996,0.554005,-0.237395,0.518143,-0.518143,-0.080926,0.664119,-0.122363,0.518328,-0.518328,-0.156522,0.763360,-0.018200,0.513362,-0.513362
62,1.0,0.189367,0.290661,0,0.000000,0.300000,-0.500000,0.477884,-0.477884,0.012088,0.425368,-0.370884,0.496209,-0.496209,-0.019996,0.554005,-0.237395,0.503978,-0.503978,-0.080926,0.664119,-0.122363,0.502317,-0.502317,-0.156522,0.763360,-0.018200,0.495686,-0.495686
63,1.0,0.180379,0.247067,0,0.000000,0.300000,-0.500000,0.482652,-0.482652,0.012088,0.425368,-0.370884,0.499296,-0.499296,-0.019996,0.554005,-0.237395,0.505320,-0.505320,-0.080926,0.664119,-0.122363,0.502159,-0.502159,-0.156522,0.763360,-0.018200,0.494169,-0.494169
64,1.0,0.381253,0.148553,0,0.000000,0.300000,-0.500000,0.510023,-0.510023,0.012088,0.425368,-0.370884,0.529756,-0.529756,-0.019996,0.554005,-0.237395,0.538910,-0.538910,-0.080926,0.664119,-0.122363,0.538447,-0.538447,-0.156522,0.763360,-0.018200,0.532904,-0.532904
65,1.0,0.435624,0.332159,0,0.000000,0.300000,-0.500000,0.491153,-0.491153,0.012088,0.425368,-0.370884,0.518541,-0.518541,-0.019996,0.554005,-0.237395,0.535562,-0.535562,-0.080926,0.664119,-0.122363,0.541836,-0.541836,-0.156522,0.763360,-0.018200,0.542391,-0.542391
66,1.0,0.292799,0.475493,0,0.000000,0.300000,-0.500000,0.462593,-0.462593,0.012088,0.425368,-0.370884,0.490072,-0.490072,-0.019996,0.554005,-0.237395,0.507333,-0.507333,-0.080926,0.664119,-0.122363,0.513833,-0.513833,-0.156522,0.763360,-0.018200,0.514580,-0.514580
67,1.0,0.400353,0.301840,0,0.000000,0.300000,-0.500000,0.492297,-0.492297,0.012088,0.425368,-0.370884,0.517602,-0.517602,-0.019996,0.554005,-0.237395,0.532491,-0.532491,-0.080926,0.664119,-0.122363,0.536938,-0.536938,-0.156522,0.763360,-0.018200,0.535838,-0.535838
68,1.0,0.336164,0.322526,0,0.000000,0.300000,-0.500000,0.484901,-0.484901,0.012088,0.425368,-0.370884,0.508864,-0.508864,-0.019996,0.554005,-0.237395,0.522403,-0.522403,-0.080926,0.664119,-0.122363,0.525693,-0.525693,-0.156522,0.763360,-0.018200,0.523538,-0.523538
69,1.0,0.235488,0.369272,0,0.000000,0.300000,-0.500000,0.471533,-0.471533,0.012088,0.425368,-0.370884,0.493825,-0.493825,-0.019996,0.554005,-0.237395,0.505700,-0.505700,-0.080926,0.664119,-0.122363,0.507570,-0.507570,-0.156522,0.763360,-0.018200,0.504130,-0.504130
70,1.0,0.336140,0.173067,0,0.000000,0.300000,-0.500000,0.503577,-0.503577,0.012088,0.425368,-0.370884,0.522705,-0.522705,-0.019996,0.554005,-0.237395,0.531245,-0.531245,-0.080926,0.664119,-0.122363,0.530246,-0.530246,-0.156522,0.763360,-0.018200,0.524212,-0.524212
71,1.0,0.453804,0.470251,0,0.000000,0.300000,-0.500000,0.475274,-0.475274,0.012088,0.425368,-0.370884,0.507678,-0.507678,-0.019996,0.554005,-0.237395,0.529909,-0.529909,-0.080926,0.664119,-0.122363,0.540638,-0.540638,-0.156522,0.763360,-0.018200,0.545210,-0.545210
72,1.0,0.296417,0.320233,0,0.000000,0.300000,-0.500000,0.482210,-0.482210,0.012088,0.425368,-0.370884,0.504851,-0.504851,-0.019996,0.554005,-0.237395,0.517043,-0.517043,-0.080926,0.664119,-0.122363,0.519177,-0.519177,-0.156522,0.763360,-0.018200,0.515975,-0.515975
73,1.0,0.456464,0.463186,0,0.000000,0.300000,-0.500000,0.476354,-0.476354,0.012088,0.425368,-0.370884,0.508616,-0.508616,-0.019996,0.554005,-0.237395,0.530694,-0.530694,-0.080926,0.664119,-0.122363,0.541292,-0.541292,-0.156522,0.763360,-0.018200,0.545745,-0.545745
74,1.0,0.038025,0.226697,0,0.000000,0.300000,-0.500000,0.474537,-0.474537,0.012088,0.425368,-0.370884,0.486050,-0.486050,-0.019996,0.554005,-0.237395,0.486816,-0.486816,-0.080926,0.664119,-0.122363,0.479159,-0.479159,-0.156522,0.763360,-0.018200,0.467142,-0.467142
75,1.0,0.382190,0.481806,0,0.000000,0.300000,-0.500000,0.468480,-0.468480,0.012088,0.425368,-0.370884,0.498991,-0.498991,-0.019996,0.554005,-0.237395,0.519331,-0.519331,-0.080926,0.664119,-0.122363,0.528454,-0.528454,-0.156522,0.763360,-0.018200,0.531572,-0.531572
76,1.0,0.308705,0.377516,0,0.000000,0.300000,-0.500000,0.475982,-0.475982,0.012088,0.425368,-0.370884,0.500847,-0.500847,-0.019996,0.554005,-0.237395,0.515347,-0.515347,-0.080926,0.664119,-0.122363,0.519464,-0.519464,-0.156522,0.763360,-0.018200,0.518057,-0.518057
77,1.0,0.270099,0.355304,0,0.000000,0.300000,-0.500000,0.475863,-0.475863,0.012088,0.425368,-0.370884,0.498801,-0.498801,-0.019996,0.554005,-0.237395,0.511321,-0.511321,-0.080926,0.664119,-0.122363,0.513741,-0.513741,-0.156522,0.763360,-0.018200,0.510797,-0.510797
78,1.0,0.309176,0.323402,0,0.000000,0.300000,-0.500000,0.482770,-0.482770,0.012088,0.425368,-0.370884,0.505914,-0.505914,-0.019996,0.554005,-0.237395,0.518620,-0.518620,-0.080926,0.664119,-0.122363,0.521195,-0.521195,-0.156522,0.763360,-0.018200,0.518393,-0.518393
79,1.0,0.101243,0.275147,0,0.000000,0.300000,-0.500000,0.473225,-0.473225,0.012088,0.425368,-0.370884,0.488279,-0.488279,-0.019996,0.554005,-0.237395,0.492694,-0.492694,-0.080926,0.664119,-0.122363,0.488163,-0.488163,-0.156522,0.763360,-0.018200,0.478951,-0.478951
80,1.0,0.278033,0.420053,0,0.000000,0.300000,-0.500000,0.468388,-0.468388,0.012088,0.425368,-0.370884,0.493641,-0.493641,-0.019996,0.554005,-0.237395,0.508578,-0.508578,-0.080926,0.664119,-0.122363,0.513078,-0.513078,-0.156522,0.763360,-0.018200,0.512016,-0.512016
81,1.0,0.335711,0.314036,0,0.000000,0.300000,-0.500000,0.485928,-0.485928,0.012088,0.425368,-0.370884,0.509603,-0.509603,-0.019996,0.554005,-0.237395,0.522844,-0.522844,-0.080926,0.664119,-0.122363,0.525877,-0.525877,-0.156522,0.763360,-0.018200,0.523490,-0.523490
82,1.0,0.447789,0.103293,0,0.000000,0.300000,-0.500000,0.520661,-0.520661,0.012088,0.425368,-0.370884,0.540971,-0.540971,-0.019996,0.554005,-0.237395,0.550715,-0.550715,-0.080926,0.664119,-0.122363,0.550779,-0.550779,-0.156522,0.763360,-0.018200,0.545728,-0.545728
83,1.0,0.248173,0.188281,0,0.000000,0.300000,-0.500000,0.495078,-0.495078,0.012088,0.425368,-0.370884,0.511953,-0.511953,-0.019996,0.554005,-0.237395,0.518191,-0.518191,-0.080926,0.664119,-0.122363,0.515208,-0.515208,-0.156522,0.763360,-0.018200,0.507374,-0.507374
84,1.0,0.219151,0.281415,0,0.000000,0.300000,-0.500000,0.481268,-0.481268,0.012088,0.425368,-0.370884,0.500234,-0.500234,-0.019996,0.554005,-0.237395,0.508651,-0.508651,-0.080926,0.664119,-0.122363,0.507545,-0.507545,-0.156522,0.763360,-0.018200,0.501412,-0.501412
85,1.0,0.249824,0.331000,0,0.000000,0.300000,-0.500000,0.477377,-0.477377,0.012088,0.425368,-0.370884,0.498898,-0.498898,-0.019996,0.554005,-0.237395,0.509956,-0.509956,-0.080926,0.664119,-0.122363,0.511119,-0.511119,-0.156522,0.763360,-0.018200,0.507039,-0.507039
